项目经理名称,决策状态,回购进程,当前审批人,电池型号,电池SN,回购业务编号,回购决策编号,业务状态,创建时间,更新时间,车辆品牌,车架号,回购来源,所属部门,付款申请编号,付款申请时间,付款申请状态,付款时间,收款方,回购金额,已付款金额,未付款金额,支付方式,付款明细状态,租售决策通过时间,总部套数,付款套数,距离今天天数
马琛超,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFA8JC03,LDJT-2025-014-HPJ-31556,PPS-202511-2113,已会签,2025-11-28 14:28:09.0,2026-06-24 12:51:42.0, 德创未来,LZGJLM449SX124593,山西省辉鹏捷物流有限公司,事业二部三组,PREQ-20260324-0051,2026-03-27 14:45:51.0,待执行,,,329400.0,0.0,329400.0,"银行承兑汇票,商业承兑汇票","待付款,待付款",2025-12-03,3.0,3,232
马琛超,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFA1JC28,LDJT-2025-014-HPJ-31556,PPS-202511-2113,已会签,2025-11-28 14:28:09.0,2026-06-24 12:51:42.0, 德创未来,LZGJLM447SX124592,山西省辉鹏捷物流有限公司,事业二部三组,PREQ-20260324-0051,2026-03-27 14:45:51.0,待执行,,,329400.0,0.0,329400.0,"银行承兑汇票,商业承兑汇票","待付款,待付款",2025-12-03,3.0,3,232
马琛超,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBF9YJC47,LDJT-2025-014-HPJ-31556,PPS-202511-2113,已会签,2025-11-28 14:28:09.0,2026-06-24 12:51:42.0, 德创未来,LZGJLM443SX124590,山西省辉鹏捷物流有限公司,事业二部三组,PREQ-20260324-0051,2026-03-27 14:45:51.0,待执行,,,329400.0,0.0,329400.0,"银行承兑汇票,商业承兑汇票","待付款,待付款",2025-12-03,3.0,3,232
张旺龙,审批通过,未回购,,QX-600-JL-NN电池系统（锦锂）,AF0PBFA0GS31,LDJT-2025-014-HSQC-32941,PPS-202512-810,已会签,2025-12-10 09:21:35.0,2026-06-19 21:32:43.0,徐工,LC1HMYBFXS0045927,晋中市太谷区恒晟汽车销售服务有限公司,事业二部二组,PREQ-20260707-0044,2026-07-07 14:09:36.0,草稿,,,432800.0,0.0,432800.0,商业承兑汇票,待付款,2026-06-19,3.0,3,34
张旺龙,审批通过,未回购,,QX-600-JL-NN电池系统（锦锂）,AF0PBFA0GS30,LDJT-2025-014-HSQC-32941,PPS-202512-810,已会签,2025-12-10 09:21:35.0,2026-06-19 21:32:43.0,徐工,LC1HMYBF8S0045926,晋中市太谷区恒晟汽车销售服务有限公司,事业二部二组,PREQ-20260707-0044,2026-07-07 14:09:36.0,草稿,,,432800.0,0.0,432800.0,商业承兑汇票,待付款,2026-06-19,3.0,3,34
张旺龙,审批通过,未回购,,QX-600-JL-NN电池系统（锦锂）,AF0PBFA0GS26,LDJT-2025-014-HSQC-32941,PPS-202512-810,已会签,2025-12-10 09:21:35.0,2026-06-19 21:32:43.0,徐工,LC1HMYBF1S0045928,晋中市太谷区恒晟汽车销售服务有限公司,事业二部二组,PREQ-20260707-0044,2026-07-07 14:09:36.0,草稿,,,432800.0,0.0,432800.0,商业承兑汇票,待付款,2026-06-19,3.0,3,34
郭利明,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBF9JJC30,LDJT-2025-014-QWDSM-29536,PPS-202510-1430,已会签,2025-11-12 16:53:08.0,2025-12-01 15:58:55.0,陕重汽,LZGJLM447SX119327,山西沁伟达商贸有限公司,事业二部三组,PREQ-20251209-0003,2025-12-09 06:22:09.0,待执行,,陕西重型汽车有限公司,329400.0,0.0,329400.0,商业承兑汇票,待付款,2025-12-01,2.0,2,234
郭利明,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBF9EJC24,LDJT-2025-014-QWDSM-29536,PPS-202510-1430,已会签,2025-11-12 16:53:08.0,2025-12-01 15:58:55.0,陕重汽,LZGJLM445SX119326,山西沁伟达商贸有限公司,事业二部三组,PREQ-20251209-0003,2025-12-09 06:22:09.0,待执行,,陕西重型汽车有限公司,329400.0,0.0,329400.0,商业承兑汇票,待付款,2025-12-01,2.0,2,234
田若成,审批通过,未回购,,CTB-CVP-400kWh电池系统（兰钧）,AD0PBFABG025,LDJT-2025-014-SXJH-34550,PPS-202512-1937,已会签,2025-12-19 17:01:24.0,2026-04-14 15:09:01.0,徐工,LC1HMYBF7S0041396,山西嘉海运输有限公司,事业二部二组,,,-,,,329400.0,,,,,2026-04-14,1.0,1,100
马琛超,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBF9KJC06,LDJT-2025-014-YJGM-31249,PPS-202511-2063,已会签,2025-11-26 16:47:08.0,2025-12-01 15:48:43.0,陕重汽,LZGJLM445SX119293,晋城市益骏工贸有限公司,事业二部三组,PREQ-20251209-0033,2025-12-09 10:16:31.0,待执行,,陕西重型汽车有限公司,329400.0,0.0,329400.0,商业承兑汇票,待付款,2025-12-01,1.0,1,234
